Date,Employee ID,Employee Name,Role,Department,Entity,Seniority Level,Headcount,Base Salary,Bonus,Total Compensation,Attrition Flag,New Hire Flag,Budgeted Salary,Budgeted Headcount
2020-01-01,EMP00051,Employee_51,Support Agent,LiveOps,TapForge CN,Mid,1,3135.03,433.18,3568.21,0,0,3160.0814444133375,1
2020-01-01,EMP00052,Employee_52,Localization Lead,LiveOps,TapForge CN,Junior,1,1590.44,287.48,1877.92,0,0,1714.5717532116628,1
2020-01-01,EMP00053,Employee_53,Localization Lead,BI & Analytics,TapForge CN,Junior,1,4981.4,401.91,5383.3099999999995,0,0,5039.867095496115,1
2020-01-01,EMP00054,Employee_54,UX Researcher,BI & Analytics,TapForge CN,Mid,1,3222.7,608.66,3831.3599999999997,0,0,3322.5793202565083,1
2020-01-01,EMP00055,Employee_55,Localization Lead,BI & Analytics,TapForge CN,Lead,1,2614.52,342.8,2957.32,0,0,2769.0172406623346,1
2020-01-01,EMP00056,Employee_56,Game Designer,BI & Analytics,TapForge CN,Senior,1,3926.01,367.71,4293.72,0,0,4307.925220382463,1
2020-01-01,EMP00057,Employee_57,Game Designer,BI & Analytics,TapForge CN,Junior,1,4562.47,617.26,5179.7300000000005,0,0,4676.931832887269,1
2020-01-01,EMP00058,Employee_58,Backend Engineer,BI & Analytics,TapForge CN,Lead,1,2825.76,704.82,3530.5800000000004,0,1,2839.883771830636,1
2020-01-01,EMP00059,Employee_59,Localization Lead,BI & Analytics,TapForge CN,Senior,1,3598.58,697.48,4296.0599999999995,0,0,3744.195746477203,1
2020-01-01,EMP00060,Employee_60,Backend Engineer,Infrastructure,TapForge CN,Senior,1,4182.25,823.45,5005.7,0,0,4522.053479756588,1
2020-01-01,EMP00061,Employee_61,Support Agent,Infrastructure,TapForge CN,Mid,1,3191.03,180.98,3372.01,0,0,3272.820418350699,1
2020-01-01,EMP00062,Employee_62,Support Agent,Infrastructure,TapForge CN,Junior,1,2830.81,200.31,3031.12,0,0,2793.2995352700173,0
2020-01-01,EMP00063,Employee_63,LiveOps Analyst,Infrastructure,TapForge CN,Mid,1,3801.68,406.07,4207.75,0,1,3674.841480199924,1
2020-01-01,EMP00064,Employee_64,Localization Lead,Infrastructure,TapForge CN,Senior,1,4309.86,565.9,4875.759999999999,0,0,4281.455399813429,1
2020-01-01,EMP00065,Employee_65,UX Researcher,Infrastructure,TapForge CN,Mid,1,4720.1,936.73,5656.83,0,0,4783.018975921531,1
2020-01-01,EMP00066,Employee_66,Support Agent,R&D,WhaleCare PH,Mid,1,4304.44,1007.05,5311.49,0,0,4194.6092806913875,1
2020-01-01,EMP00067,Employee_67,UX Researcher,R&D,WhaleCare PH,Lead,1,4424.37,991.62,5415.99,0,0,4222.2856949855795,1
2020-01-01,EMP00068,Employee_68,UX Researcher,R&D,WhaleCare PH,Mid,1,3752.4,305.58,4057.98,0,0,4117.69841031361,1
2020-01-01,EMP00069,Employee_69,Game Designer,R&D,WhaleCare PH,Senior,1,3491.09,678.9,4169.99,0,0,3364.634547480286,1
2020-01-01,EMP00070,Employee_70,Support Agent,R&D,WhaleCare PH,Mid,1,3756.57,208.75,3965.32,0,0,4033.8152665694015,1
2020-01-01,EMP00071,Employee_71,Backend Engineer,Human Resources,WhaleCare PH,Mid,1,4037.61,858.09,4895.7,0,0,4078.222020929348,1
2020-01-01,EMP00072,Employee_72,LiveOps Analyst,Human Resources,WhaleCare PH,Junior,1,3951.22,856.26,4807.48,0,0,4032.5007600358367,1
2020-01-01,EMP00073,Employee_73,LiveOps Analyst,Human Resources,WhaleCare PH,Lead,1,3430.78,245.46,3676.2400000000002,0,0,3597.149575974699,1
2020-01-01,EMP00074,Employee_74,Localization Lead,Human Resources,WhaleCare PH,Mid,1,4527.65,703.78,5231.429999999999,0,0,4431.494646421246,1
2020-01-01,EMP00075,Employee_75,Game Designer,Human Resources,WhaleCare PH,Senior,1,2944.24,722.2,3666.4399999999996,0,0,3103.489026725449,1
2020-01-01,EMP00076,Employee_76,Backend Engineer,Human Resources,WhaleCare PH,Senior,1,3908.3,527.73,4436.030000000001,0,0,3812.423533176142,1
2020-01-01,EMP00077,Employee_77,UX Researcher,Human Resources,WhaleCare PH,Junior,1,5233.61,603.68,5837.29,0,0,5081.270055599293,1
2020-01-01,EMP00078,Employee_78,Backend Engineer,Marketing,WhaleCare PH,Senior,1,5595.44,441.38,6036.82,0,0,6087.168442573943,1
2020-01-01,EMP00079,Employee_79,LiveOps Analyst,Marketing,WhaleCare PH,Senior,1,3409.04,607.17,4016.21,0,0,3565.142836051076,1
2020-01-01,EMP00080,Employee_80,UX Researcher,Marketing,WhaleCare PH,Mid,1,3574.79,607.53,4182.32,0,0,3801.7320292882996,0
2020-01-01,EMP00081,Employee_81,Game Designer,H.R.,WhaleCare PH,Senior,1,3713.61,243.6,3957.21,0,0,3962.2617805310115,1
2020-01-01,EMP00082,Employee_82,Backend Engineer,Marketing,WhaleCare PH,Mid,1,3912.14,300.81,4212.95,0,0,4285.053429616402,1
2020-01-01,EMP00083,Employee_83,Game Designer,LiveOps,WhaleCare PH,Mid,1,2764.75,599.42,3364.17,0,0,2719.146043776092,1
2020-01-01,EMP00084,Employee_84,Backend Engineer,LiveOps,WhaleCare PH,Senior,1,3708.61,741.55,4450.16,0,0,4031.9288476345005,1
2020-01-01,EMP00085,Employee_85,Support Agent,LiveOps,WhaleCare PH,Lead,1,4915.68,1165.07,6080.75,0,0,5163.100329040331,1
2020-01-01,EMP00086,Employee_86,Game Designer,LiveOps,WhaleCare PH,Junior,1,4702.46,850.5,5552.96,0,0,4597.570214599701,1
2020-01-01,EMP00087,Employee_87,UX Researcher,LiveOps,WhaleCare PH,Junior,1,4401.26,650.19,5051.450000000001,0,0,4362.021596451856,1
2020-01-01,EMP00088,Employee_88,Game Designer,LiveOps,WhaleCare PH,Junior,1,3418.85,525.83,3944.68,1,0,3581.152281955498,1
2020-01-01,EMP00089,Employee_89,Localization Lead,LiveOps,WhaleCare PH,Lead,1,4658.91,709.24,5368.15,0,0,5000.420343632094,1
2020-01-01,EMP00090,Employee_90,Backend Engineer,BI & Analytics,WhaleCare PH,Mid,1,4071.65,785.8,4857.45,0,0,4071.929398155389,1
2020-01-01,EMP00091,Employee_91,Backend Engineer,BI & Analytics,WhaleCare PH,Junior,1,4043.67,315.18,4358.85,0,0,4359.55693592024,1
2020-01-01,EMP00092,Employee_92,LiveOps Analyst,BI & Analytics,WhaleCare PH,Lead,1,3605.26,842.54,4447.8,0,0,3643.657743117181,1
2020-01-01,EMP00093,Employee_93,Game Designer,BI & Analytics,WhaleCare PH,Lead,1,4087.91,714.3,4802.21,0,1,3991.782291230647,1
2020-01-01,EMP00094,Employee_94,Localization Lead,BI & Analytics,WhaleCare PH,Lead,1,3011.83,230.44,3242.27,0,0,2912.7951205747577,1
2020-01-01,EMP00095,Employee_95,UX Researcher,BI & Analytics,WhaleCare PH,Senior,1,3609.92,468.3,4078.2200000000003,0,1,3945.9702562355205,1
2020-01-01,EMP00096,Employee_96,Support Agent,BI & Analytics,WhaleCare PH,Senior,1,6845.37,1347.52,8192.89,0,0,7070.957825511545,0
2020-01-01,EMP00097,Employee_97,Support Agent,Infrastructure,WhaleCare PH,Mid,1,3457.61,810.18,4267.79,0,1,3490.5713607098246,1
2020-01-01,EMP00098,Employee_98,Backend Engineer,Infrastructure,WhaleCare PH,Senior,1,4149.74,289.32,4439.0599999999995,0,0,4121.145941836805,1
2020-01-01,EMP00099,Employee_99,UX Researcher,Infrastructure,WhaleCare PH,Mid,1,4235.59,236.63,4472.22,0,0,4244.612548196911,1
2020-01-01,EMP00100,Employee_100,Localization Lead,Infrastructure,WhaleCare PH,Senior,1,4077.91,403.15,4481.0599999999995,0,0,4430.770666760401,1
2020-01-01,EMP00101,Employee_101,UX Researcher,R&D,SummonStorm BR,Senior,1,5137.33,384.82,5522.15,0,0,5488.16693075408,1
2020-01-01,EMP00102,Employee_102,Backend Engineer,R&D,SummonStorm BR,Mid,1,4656.71,734.32,5391.03,0,0,4715.980174215444,1
2020-01-01,EMP00103,Employee_103,LiveOps Analyst,R&D,SummonStorm BR,Senior,1,2928.62,260.52,3189.14,0,0,2930.8693763241426,1
2020-01-01,EMP00104,Employee_104,UX Researcher,R&D,SummonStorm BR,Senior,1,3792.97,636.27,4429.24,0,0,3605.873544068326,1
2020-01-01,EMP00105,Employee_105,Game Designer,Human Resources,SummonStorm BR,Mid,1,3916.76,351.22,4267.9800000000005,0,0,3869.507855097975,1
2020-01-01,EMP00106,Employee_106,LiveOps Analyst,Human Resources,SummonStorm BR,Junior,1,3706.47,809.94,4516.41,0,0,3869.8095111011285,1
2020-01-01,EMP00107,Employee_107,LiveOps Analyst,H.R.,SummonStorm BR,Junior,1,3926.93,826.63,4753.5599999999995,0,1,3950.8324401236373,1
2020-01-01,EMP00108,Employee_108,LiveOps Analyst,Human Resources,SummonStorm BR,Mid,1,3443.89,810.28,4254.17,0,0,3687.550035827779,1
2020-01-01,EMP00109,Employee_109,Support Agent,Marketing,SummonStorm BR,Junior,1,3238.03,485.87,3723.9,0,0,3200.8235134300203,1
2020-01-01,EMP00110,Employee_110,LiveOps Analyst,Marketing,SummonStorm BR,Mid,1,1964.25,304.91,2269.16,0,0,1866.8033029375688,1
2020-01-01,EMP00111,Employee_111,LiveOps Analyst,Marketing,SummonStorm BR,Lead,1,2516.69,592.06,3108.75,0,0,2737.7865992888696,1
2020-01-01,EMP00112,Employee_112,Support Agent,Marketing,SummonStorm BR,Mid,1,3501.12,334.08,3835.2,0,0,3402.2252401338574,1
2020-01-01,EMP00113,Employee_113,Localization Lead,LiveOps,SummonStorm BR,Lead,1,4279.55,960.7,5240.25,0,0,4370.949771080895,1
2020-01-01,EMP00114,Employee_114,Backend Engineer,LiveOps,SummonStorm BR,Senior,1,4087.43,625.57,4713.0,0,0,4257.549642048501,1
2020-01-01,EMP00115,Employee_115,Localization Lead,LiveOps,SummonStorm BR,Junior,1,4284.92,1021.18,5306.1,0,0,4488.0602936559735,1
2020-01-01,EMP00116,Employee_116,Support Agent,LiveOps,SummonStorm BR,Mid,1,4549.81,741.54,5291.35,0,0,4514.190365208279,1
2020-01-01,EMP00117,Employee_117,Support Agent,BI & Analytics,SummonStorm BR,Junior,1,5260.98,458.74,5719.719999999999,0,1,5193.149201617336,1
2020-01-01,EMP00118,Employee_118,UX Researcher,BI & Analytics,SummonStorm BR,Junior,1,3073.87,522.35,3596.22,0,0,3080.208806198208,1
2020-01-01,EMP00119,Employee_119,Localization Lead,BI & Analytics,SummonStorm BR,Lead,1,3864.3,867.96,4732.26,0,0,4188.456569395946,1
2020-01-01,EMP00120,Employee_120,Localization Lead,BI & Analytics,SummonStorm BR,Mid,1,4896.25,772.02,5668.27,0,1,5112.982291856589,1
2020-01-01,EMP00121,Employee_121,Game Designer,BI & Analytics,SummonStorm BR,Senior,1,3014.71,732.32,3747.03,0,0,2945.6789405984773,1
2020-01-01,EMP00122,Employee_122,Backend Engineer,BI & Analytics,SummonStorm BR,Junior,1,5738.04,638.45,6376.49,0,0,6170.410332089217,1
2020-01-01,EMP00123,Employee_123,Localization Lead,Infrastructure,SummonStorm BR,Senior,1,4323.79,609.13,4932.92,0,0,4717.576018468978,1
2020-01-01,EMP00124,Employee_124,Support Agent,Infrastructure,SummonStorm BR,Mid,1,3639.03,870.9,4509.93,1,0,3961.9175089004752,1
2020-01-01,EMP00125,Employee_125,Backend Engineer,Infrastructure,SummonStorm BR,Mid,1,5233.36,1020.38,6253.74,0,0,5028.056501124605,1
2020-01-01,EMP00126,Employee_126,LiveOps Analyst,Infrastructure,SummonStorm BR,Mid,1,3391.29,467.02,3858.31,0,0,3580.857714012154,1
2020-02-01,EMP00127,Employee_127,Backend Engineer,R&D,Tapstorm SG,Senior,1,3682.32,411.66,4093.98,0,0,3997.7472602610483,1
2020-02-01,EMP00128,Employee_128,LiveOps Analyst,R&D,Tapstorm SG,Lead,1,3114.19,220.74,3334.9300000000003,0,0,3173.223202518467,1
2020-02-01,EMP00129,Employee_129,LiveOps Analyst,R&D,Tapstorm SG,Junior,1,4981.49,296.6,5278.09,0,0,4756.759970428838,0
2020-02-01,EMP00130,Employee_130,LiveOps Analyst,R&D,Tapstorm SG,Senior,1,2694.9,143.4,2838.3,0,0,2865.2173770803333,1
2020-02-01,EMP00131,Employee_131,LiveOps Analyst,Human Resources,Tapstorm SG,Mid,1,4073.43,470.16,4543.59,0,0,4460.853356569896,1
2020-02-01,EMP00132,Employee_132,LiveOps Analyst,Human Resources,Tapstorm SG,Junior,1,2471.8,519.68,2991.48,0,0,2588.6552947053933,1
2020-02-01,EMP00133,Employee_133,Backend Engineer,Human Resources,Tapstorm SG,Mid,1,4186.15,503.79,4689.94,0,0,4179.70930353071,1
2020-02-01,EMP00134,Employee_134,UX Researcher,Human Resources,Tapstorm SG,Lead,1,3708.47,189.25,3897.72,0,0,3720.115233220209,1
2020-02-01,EMP00135,Employee_135,Localization Lead,Human Resources,Tapstorm SG,Senior,1,3160.82,355.29,3516.11,0,0,3281.468549525919,1
2020-02-01,EMP00136,Employee_136,Support Agent,Marketing,Tapstorm SG,Mid,1,3788.13,578.35,4366.4800000000005,0,0,4105.79658357469,0
2020-02-01,EMP00137,Employee_137,Localization Lead,Marketing,Tapstorm SG,Mid,1,2987.8,433.66,3421.46,0,0,3086.2628024888945,1
2020-02-01,EMP00138,Employee_138,Localization Lead,Marketing,Tapstorm SG,Lead,1,3936.36,804.29,4740.65,0,0,3849.1568658729198,1
2020-02-01,EMP00139,Employee_139,Support Agent,Marketing,Tapstorm SG,Mid,1,4587.74,999.17,5586.91,0,0,4751.589039992598,1
2020-02-01,EMP00140,Employee_140,UX Researcher,Marketing,Tapstorm SG,Senior,1,4860.42,1081.83,5942.25,0,0,4922.142502318169,1
2020-02-01,EMP00141,Employee_141,Localization Lead,Marketing,Tapstorm SG,Junior,1,3018.18,413.85,3432.0299999999997,1,0,3250.7895346737396,1
2020-02-01,EMP00142,Employee_142,Game Designer,LiveOps,Tapstorm SG,Lead,1,3718.37,238.45,3956.8199999999997,0,0,3780.579240321451,0
2020-02-01,EMP00143,Employee_143,LiveOps Analyst,LiveOps,Tapstorm SG,Lead,1,4138.32,227.47,4365.79,0,0,4538.598717742284,0
2020-02-01,EMP00144,Employee_144,Backend Engineer,LiveOps,Tapstorm SG,Senior,1,3835.85,751.78,4587.63,0,0,4055.3138919858143,1
2020-02-01,EMP00145,Employee_145,LiveOps Analyst,H.R.,Tapstorm SG,Senior,1,2895.35,151.02,3046.37,0,0,2890.6564134154146,1
2020-02-01,EMP00146,Employee_146,Localization Lead,LiveOps,Tapstorm SG,Lead,1,3587.78,496.42,4084.2000000000003,0,0,3546.535625322344,1
2020-02-01,EMP00147,Employee_147,Backend Engineer,LiveOps,Tapstorm SG,Junior,1,3516.99,663.79,4180.78,0,0,3398.0949854106516,1
2020-02-01,EMP00148,Employee_148,LiveOps Analyst,BI & Analytics,Tapstorm SG,Lead,1,4122.88,930.4,5053.28,0,0,4424.196316630328,1
2020-02-01,EMP00149,Employee_149,Backend Engineer,BI & Analytics,Tapstorm SG,Senior,1,4807.0,898.7,5705.7,0,0,4708.838155729765,1
2020-02-01,EMP00150,Employee_150,Support Agent,BI & Analytics,Tapstorm SG,Senior,1,4272.84,799.03,5071.87,0,0,4068.683346275523,1
2020-02-01,EMP00151,Employee_151,Backend Engineer,BI & Analytics,Tapstorm SG,Mid,1,3245.34,363.11,3608.4500000000003,0,1,3421.70933711554,1
2020-02-01,EMP00152,Employee_152,Game Designer,BI & Analytics,Tapstorm SG,Senior,1,4377.93,892.46,5270.39,0,0,4748.114658015255,1
2020-02-01,EMP00153,Employee_153,Support Agent,BI & Analytics,Tapstorm SG,Mid,1,3575.83,260.6,3836.43,0,0,3494.954302362823,1
2020-02-01,EMP00154,Employee_154,Backend Engineer,Infrastructure,Tapstorm SG,Senior,1,4248.63,357.19,4605.82,0,0,4507.561929017513,1
2020-02-01,EMP00155,Employee_155,LiveOps Analyst,Infrastructure,Tapstorm SG,Junior,1,4461.39,1114.0,5575.39,0,0,4883.775278169816,1
2020-02-01,EMP00156,Employee_156,LiveOps Analyst,Infrastructure,Tapstorm SG,Mid,1,4254.92,767.89,5022.81,0,0,4385.74490891215,1
2020-02-01,EMP00157,Employee_157,Backend Engineer,Infrastructure,Tapstorm SG,Senior,1,5250.36,982.38,6232.74,0,0,5756.272575132196,1
2020-02-01,EMP00158,Employee_158,UX Researcher,R&D,TapForge CN,Senior,1,3758.07,282.5,4040.57,0,0,3964.186305525635,1
2020-02-01,EMP00159,Employee_159,Game Designer,R&D,TapForge CN,Junior,1,3422.69,537.54,3960.23,0,0,3759.35132216953,1
2020-02-01,EMP00160,Employee_160,Support Agent,R&D,TapForge CN,Senior,1,3976.09,258.13,4234.22,0,0,4081.528444777585,1
2020-02-01,EMP00161,Employee_161,Backend Engineer,R&D,TapForge CN,Senior,1,4767.42,869.36,5636.78,0,0,4725.816341455667,1
2020-02-01,EMP00162,Employee_162,Localization Lead,R&D,TapForge CN,Junior,1,4059.79,813.69,4873.48,0,0,4446.360742055213,1
2020-02-01,EMP00163,Employee_163,UX Researcher,Human Resources,TapForge CN,Junior,1,3227.13,414.61,3641.7400000000002,0,0,3191.6676931319653,1
2020-02-01,EMP00164,Employee_164,Localization Lead,Human Resources,TapForge CN,Senior,1,2995.27,284.32,3279.59,0,0,2885.7912843896675,1
2020-02-01,EMP00165,Employee_165,Game Designer,Human Resources,TapForge CN,Lead,1,3682.66,470.9,4153.5599999999995,0,0,3868.1715494266264,1
2020-02-01,EMP00166,Employee_166,Support Agent,Human Resources,TapForge CN,Lead,1,4682.88,401.13,5084.01,1,0,4539.294416304168,1
2020-02-01,EMP00167,Employee_167,Backend Engineer,Human Resources,TapForge CN,Senior,1,3714.13,711.03,4425.16,0,0,3665.223184781221,1
2020-02-01,EMP00168,Employee_168,Localization Lead,Human Resources,TapForge CN,Mid,1,4255.36,861.5,5116.86,0,0,4076.457420630598,1
2020-02-01,EMP00169,Employee_169,Support Agent,Human Resources,TapForge CN,Mid,1,4934.85,255.54,5190.39,0,0,5090.064072576113,1
2020-02-01,EMP00170,Employee_170,Support Agent,Marketing,TapForge CN,Mid,1,4669.09,1018.79,5687.88,0,0,4865.636084689431,1
2020-02-01,EMP00171,Employee_171,Support Agent,Marketing,TapForge CN,Senior,1,2381.71,462.88,2844.59,0,0,2519.628880598331,1
2020-02-01,EMP00172,Employee_172,Game Designer,Marketing,TapForge CN,Lead,1,4546.86,674.18,5221.04,0,0,4766.659478294661,1
2020-02-01,EMP00173,Employee_173,LiveOps Analyst,Marketing,TapForge CN,Junior,1,3963.76,988.58,4952.34,0,0,4062.027490958376,1
2020-02-01,EMP00174,Employee_174,Backend Engineer,Marketing,TapForge CN,Junior,1,4656.8,1162.89,5819.6900000000005,0,0,4567.873179134993,0
2020-02-01,EMP00175,Employee_175,Localization Lead,Marketing,TapForge CN,Senior,1,3876.1,238.78,4114.88,0,0,3756.5943145248348,1
2020-02-01,EMP00176,Employee_176,Game Designer,Marketing,TapForge CN,Lead,1,3704.4,525.48,4229.88,0,0,3866.786105261355,1
2020-02-01,EMP00177,Employee_177,Game Designer,LiveOps,TapForge CN,Junior,1,3518.86,708.34,4227.2,0,0,3805.5450013218974,1
2020-02-01,EMP00178,Employee_178,Backend Engineer,LiveOps,TapForge CN,Senior,1,4145.34,691.41,4836.75,0,0,4065.5232393123806,0
2020-02-01,EMP00179,Employee_179,LiveOps Analyst,LiveOps,TapForge CN,Senior,1,2588.93,519.94,3108.87,0,0,2636.015821402582,0
2020-02-01,EMP00180,Employee_180,Backend Engineer,LiveOps,TapForge CN,Junior,1,3261.58,344.53,3606.1099999999997,0,1,3119.1577272724953,1
2020-02-01,EMP00181,Employee_181,Support Agent,LiveOps,TapForge CN,Lead,1,4232.68,526.6,4759.280000000001,0,0,4307.803424334199,1
